log_id,timestamp,mode,task_title,task_category,task_priority,required_skills,assigned,assigned_resource,score,base_score,rag_bonus,explanation
20260528094038238923,2026-05-28T09:40:38,agentic_rag,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,107.02,95.86,11.16,"Agentic RAG assigned this task to Sara because the agent passed shift, availability, workload, and skill checks, then received the best combined score after similar-case retrieval. Core reasons: currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload. RAG evidence: RAG found 1 similar past case(s), 1 successful, 0 escalated. Most similar past case: 'Customer payment failed after card checkout' handled by Amit with similarity 0.7285. Relevant policy/SOP context was also retrieved before scoring. Rohit was skipped because skill match is too weak for high priority task. Neha was skipped because skill match is too weak for high priority task."
20260528094638625605,2026-05-28T09:46:38,normal_scoring,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,95.86,,,"Assigned to Sara because currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload; strong past success rate. Final score: 95.86.  Rohit was skipped because skill match is too weak for high priority task Neha was skipped because skill match is too weak for high priority task Priya was skipped because resource is offline, resource is outside shift timing"
20260528094639731421,2026-05-28T09:46:39,agentic_rag,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,107.02,95.86,11.16,"Agentic RAG assigned this task to Sara because the agent passed shift, availability, workload, and skill checks, then received the best combined score after similar-case retrieval. Core reasons: currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload. RAG evidence: RAG found 1 similar past case(s), 1 successful, 0 escalated. Most similar past case: 'Customer payment failed after card checkout' handled by Amit with similarity 0.7285. Relevant policy/SOP context was also retrieved before scoring. Rohit was skipped because skill match is too weak for high priority task. Neha was skipped because skill match is too weak for high priority task."
20260528094641390639,2026-05-28T09:46:41,normal_scoring,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,95.86,,,"Assigned to Sara because currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload; strong past success rate. Final score: 95.86.  Rohit was skipped because skill match is too weak for high priority task Neha was skipped because skill match is too weak for high priority task Priya was skipped because resource is offline, resource is outside shift timing"
20260528094642135721,2026-05-28T09:46:42,agentic_rag,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,107.02,95.86,11.16,"Agentic RAG assigned this task to Sara because the agent passed shift, availability, workload, and skill checks, then received the best combined score after similar-case retrieval. Core reasons: currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload. RAG evidence: RAG found 1 similar past case(s), 1 successful, 0 escalated. Most similar past case: 'Customer payment failed after card checkout' handled by Amit with similarity 0.7285. Relevant policy/SOP context was also retrieved before scoring. Rohit was skipped because skill match is too weak for high priority task. Neha was skipped because skill match is too weak for high priority task."
20260528094642925385,2026-05-28T09:46:42,normal_scoring,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,95.86,,,"Assigned to Sara because currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload; strong past success rate. Final score: 95.86.  Rohit was skipped because skill match is too weak for high priority task Neha was skipped because skill match is too weak for high priority task Priya was skipped because resource is offline, resource is outside shift timing"
20260528094644431068,2026-05-28T09:46:44,ml_ranker_fallback,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,107.02,95.86,11.16,"Agentic RAG assigned this task to Sara because the agent passed shift, availability, workload, and skill checks, then received the best combined score after similar-case retrieval. Core reasons: currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload. RAG evidence: RAG found 1 similar past case(s), 1 successful, 0 escalated. Most similar past case: 'Customer payment failed after card checkout' handled by Amit with similarity 0.7285. Relevant policy/SOP context was also retrieved before scoring. Rohit was skipped because skill match is too weak for high priority task. Neha was skipped because skill match is too weak for high priority task. ML ranker fallback was used because no trained model is available yet."
20260528095054826441,2026-05-28T09:50:54,ml_ranker_fallback,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,107.02,95.86,11.16,"Agentic RAG assigned this task to Sara because the agent passed shift, availability, workload, and skill checks, then received the best combined score after similar-case retrieval. Core reasons: currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload. RAG evidence: RAG found 1 similar past case(s), 1 successful, 0 escalated. Most similar past case: 'Customer payment failed after card checkout' handled by Amit with similarity 0.7285. Relevant policy/SOP context was also retrieved before scoring. Rohit was skipped because skill match is too weak for high priority task. Neha was skipped because skill match is too weak for high priority task. ML ranker fallback was used because no trained model is available yet."
20260528095747856574,2026-05-28T09:57:47,ml_ranker,Customer payment failed,payment,high,"billing, customer_support, payments",True,Sara,102.46,95.86,11.16,"ML Ranker assigned this task to Sara after using Agentic RAG evidence plus the trained candidate-ranking model. The selected candidate received ML probability 100.0% and blended score 102.46. Original explanation: Agentic RAG assigned this task to Sara because the agent passed shift, availability, workload, and skill checks, then received the best combined score after similar-case retrieval. Core reasons: currently idle; matched skills: billing, customer_support, payments; has past experience in payment tasks; low current workload. RAG evidence: RAG found 1 similar past case(s), 1 successful, 0 escalated. Most similar past case: 'Customer payment failed after card checkout' handled by Amit with similarity 0.7285. Relevant policy/SOP context was also retrieved before scoring. Rohit was skipped because skill match is too weak for high priority task. Neha was skipped because skill match is too weak for high priority task."
20260528100238965011,2026-05-28T10:02:38,normal_scoring,API latency issue,technical,urgent,"api, debugging, technical_support",True,Joe,88.2,,,"Assigned to Joe because available; matched skills: api, debugging, technical_support; has past experience in technical tasks; low current workload. Final score: 88.2.  Neha was skipped because no required skill match, skill match is too weak for high priority task Priya was skipped because resource is offline, resource is outside shift timing Sara was skipped because no required skill match, skill match is too weak for high priority task"
